fen,eval
rn1qkb1r/pp3pp1/2pppn1p/3P1b2/2P5/2N2NP1/PP2PPBP/R1BQK2R b KQkq - 0 7,0.7700
rn1qkb1r/pp3pp1/2pp1n1p/3Ppb2/2P5/2N2NP1/PP2PPBP/R1BQK2R w KQkq - 0 8,0.7900
rn1qkb1r/pp3pp1/2pp1n1p/3Ppb2/2P4N/2N3P1/PP2PPBP/R1BQK2R b KQkq - 1 8,0.9400
rn1qkb1r/pp3ppb/2pp1n1p/3Pp3/2P4N/2N3P1/PP2PPBP/R1BQK2R w KQkq - 2 9,0.9900
rn1qkb1r/pp3ppb/2pp1n1p/3Pp3/2P4N/2N3P1/PP2PPBP/R1BQ1RK1 b kq - 3 9,0.7900
rn1qkb1r/pp3p1b/2pp1n1p/3Pp1p1/2P4N/2N3P1/PP2PPBP/R1BQ1RK1 w kq - 0 10,0.8700
rn1qkb1r/pp3p1b/2pp1n1p/3Pp1p1/2P5/2N2NP1/PP2PPBP/R1BQ1RK1 b kq - 1 10,0.9300
rn1qk2r/pp2bp1b/2pp1n1p/3Pp1p1/2P5/2N2NP1/PP2PPBP/R1BQ1RK1 w kq - 2 11,1.1800
rn1qk2r/pp2bp1b/2pp1n1p/3Pp1p1/P1P5/2N2NP1/1P2PPBP/R1BQ1RK1 b kq - 0 11,1.0400
rn1qk2r/pp2bp1b/2pp3p/3Pp1p1/P1P1n3/2N2NP1/1P2PPBP/R1BQ1RK1 w kq - 1 12,1.3200
rn1qk2r/pp2bp1b/2pp3p/P2Pp1p1/2P1n3/2N2NP1/1P2PPBP/R1BQ1RK1 b kq - 0 12,0.5500
rn1qk2r/pp2bp1b/2pp3p/P2Pp1p1/2P5/2n2NP1/1P2PPBP/R1BQ1RK1 w kq - 0 13,0.7800
rn1qk2r/pp2bp1b/2pp3p/P2Pp1p1/2P5/2n2NP1/1P2PPBP/R1B1QRK1 b kq - 1 13,-2.7900
rn1qk2r/pp2bp1b/3p3p/P2pp1p1/2P5/2n2NP1/1P2PPBP/R1B1QRK1 w kq - 0 14,0.0700
rn1qk2r/pp2bp1b/3p3p/P2pp1p1/2P5/2P2NP1/4PPBP/R1B1QRK1 b kq - 0 14,-0.8000
r2qk2r/pp1nbp1b/3p3p/P2pp1p1/2P5/2P2NP1/4PPBP/R1B1QRK1 w kq - 1 15,0.5200
r2qk2r/pp1nbp1b/3p3p/P2pp1p1/2P5/2P3P1/3NPPBP/R1B1QRK1 b kq - 2 15,0.3400
r2qk2r/pp1nbp1b/3p3p/P3p1p1/2p5/2P3P1/3NPPBP/R1B1QRK1 w kq - 0 16,0.6000
r2qk2r/pp1nbp1b/3p3p/P3p1p1/2p5/B1P3P1/3NPPBP/R3QRK1 b kq - 1 16,0.1100
r3k2r/ppqnbp1b/3p3p/P3p1p1/2p5/B1P3P1/3NPPBP/R3QRK1 w kq - 2 17,0.0000
r3k2r/ppqnbp1b/3p3p/P3p1p1/2p1P3/B1P3P1/3N1PBP/R3QRK1 b kq - 0 17,-1.1300
r3k2r/p1qnbp1b/3p3p/Pp2p1p1/2p1P3/B1P3P1/3N1PBP/R3QRK1 w kq b6 0 18,-0.5500
r3k2r/p1qnbp1b/1P1p3p/4p1p1/2p1P3/B1P3P1/3N1PBP/R3QRK1 b kq - 0 18,-0.4800
r3k2r/p1q1bp1b/1n1p3p/4p1p1/2p1P3/B1P3P1/3N1PBP/R3QRK1 w kq - 0 19,-0.2500
r3k2r/p1q1bp1b/1n1p3p/4p1p1/2p1P3/B1P3P1/3NQPBP/R4RK1 b kq - 1 19,-0.6100
r3k2r/p1q1bp2/1n1p2bp/4p1p1/2p1P3/B1P3P1/3NQPBP/R4RK1 w kq - 2 20,-0.2600
r3k2r/p1q1bp2/1n1p2bp/4p1p1/1Bp1P3/2P3P1/3NQPBP/R4RK1 b kq - 3 20,-0.2100
r3k2r/p1q1bp2/1n1p2b1/4p1pp/1Bp1P3/2P3P1/3NQPBP/R4RK1 w kq - 0 21,0.3700
r3k2r/p1q1bp2/1n1p2b1/4p1pp/1Bp1P3/2P3PP/3NQPB1/R4RK1 b kq - 0 21,0.1000
r2bk2r/p1q2p2/1n1p2b1/4p1pp/1Bp1P3/2P3PP/3NQPB1/R4RK1 w kq - 1 22,0.8200
r2bk2r/p1q2p2/1n1p2b1/R3p1pp/1Bp1P3/2P3PP/3NQPB1/5RK1 b kq - 2 22,0.6900
r3k2r/p1q1bp2/1n1p2b1/R3p1pp/1Bp1P3/2P3PP/3NQPB1/5RK1 w kq - 3 23,0.7700
r3k2r/p1q1bp2/1n1p2b1/R3p1pp/1Bp1P3/2P3PP/3NQPB1/R5K1 b kq - 4 23,0.7600
r3k2r/p1q1bp2/1n1p2b1/R3p1p1/1Bp1P2p/2P3PP/3NQPB1/R5K1 w kq - 0 24,0.7700
r3k2r/p1q1bp2/1n1p2b1/R3p1p1/1Bp1P2p/2P3PP/4QPB1/R4NK1 b kq - 1 24,0.6200
r3k2r/2q1bp2/pn1p2b1/R3p1p1/1Bp1P2p/2P3PP/4QPB1/R4NK1 w kq - 0 25,0.8200
r3k2r/2q1bp2/Rn1p2b1/4p1p1/1Bp1P2p/2P3PP/4QPB1/R4NK1 b kq - 0 25,0.8300
4k2r/2q1bp2/rn1p2b1/4p1p1/1Bp1P2p/2P3PP/4QPB1/R4NK1 w k - 0 26,1.2000
4k2r/2q1bp2/rn1B2b1/4p1p1/2p1P2p/2P3PP/4QPB1/R4NK1 b k - 0 26,-3.2300
4k2r/4bp2/rnqB2b1/4p1p1/2p1P2p/2P3PP/4QPB1/R4NK1 w k - 1 27,-2.3800
4k2r/4bp2/RnqB2b1/4p1p1/2p1P2p/2P3PP/4QPB1/5NK1 b k - 0 27,-2.3900
4k2r/4bp2/RnqB4/4p1pb/2p1P2p/2P3PP/4QPB1/5NK1 w k - 1 28,2.7500
4k2r/4bp2/RnqB4/4p1pb/2p1P2p/2P3PP/1Q3PB1/5NK1 b k - 2 28,2.4300
3bk2r/5p2/RnqB4/4p1pb/2p1P2p/2P3PP/1Q3PB1/5NK1 w k - 3 29,3.3600
3bk2r/5p2/Rnq5/4B1pb/2p1P2p/2P3PP/1Q3PB1/5NK1 b k - 0 29,3.3400
3b1rk1/5p2/Rnq5/4B1pb/2p1P2p/2P3PP/1Q3PB1/5NK1 w - - 1 30,3.2400
3b1rk1/5p2/Rnq5/4B1pb/2p1P2P/2P4P/1Q3PB1/5NK1 b - - 0 30,2.8600
3b1rk1/5p2/Rn2q3/4B1pb/2p1P2P/2P4P/1Q3PB1/5NK1 w - - 1 31,3.5300
3b1rk1/5p2/Rn2q3/6pb/2p1P2P/2P4P/1Q3PBB/5NK1 b - - 2 31,2.4500
3b1rk1/5p2/Rn2q3/7b/2p1P2p/2P4P/1Q3PBB/5NK1 w - - 0 32,2.3200
3b1rk1/5p2/1n2q3/R6b/2p1P2p/2P4P/1Q3PBB/5NK1 b - - 1 32,2.0300
3b1rk1/5p2/1n4q1/R6b/2p1P2p/2P4P/1Q3PBB/5NK1 w - - 2 33,2.4100
3b1rk1/5p2/1n4q1/R6b/2p1P2p/2P1N2P/1Q3PBB/6K1 b - - 3 33,1.1100
3b1rk1/5p2/1n4q1/R7/2p1P2p/2P1Nb1P/1Q3PBB/6K1 w - - 4 34,1.2000
rnbqkbnr/1p1ppppp/p7/2p5/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 1 3,-0.4600
rnbqkbnr/3ppppp/p7/1pp5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 4,-0.3500
rnbqkbnr/3ppppp/p7/1pp5/P3P3/8/1PPP1PPP/RNBQKBNR b KQkq - 0 4,-0.3800
rn1qkbnr/1b1ppppp/p7/1pp5/P3P3/8/1PPP1PPP/RNBQKBNR w KQkq - 1 5,-0.1700
rn1qkbnr/1b1ppppp/p7/1pp5/P3P3/3P4/1PP2PPP/RNBQKBNR b KQkq - 0 5,-0.3700
rn1qkbnr/1b1ppppp/p7/2p5/Pp2P3/3P4/1PP2PPP/RNBQKBNR w KQkq - 0 6,-0.3200
rn1qkbnr/1b1ppppp/p7/2p5/Pp2P3/3P1N2/1PP2PPP/RNBQKB1R b KQkq - 1 6,-0.3300
rn1qkbnr/1b1p1ppp/p3p3/2p5/Pp2P3/3P1N2/1PP2PPP/RNBQKB1R w KQkq - 0 7,-0.2600
rn1qkbnr/1b1p1ppp/p3p3/2p5/Pp2P3/3P1N2/1PP1BPPP/RNBQK2R b KQkq - 1 7,-0.4600
r2qkbnr/1b1p1ppp/p1n1p3/2p5/Pp2P3/3P1N2/1PP1BPPP/RNBQK2R w KQkq - 2 8,-0.3900
r2qkbnr/1b1p1ppp/p1n1p3/2p5/Pp2P3/3P1N2/1PP1BPPP/RNBQ1RK1 b kq - 3 8,-0.4300
r2qkb1r/1b1p1ppp/p1n1pn2/2p5/Pp2P3/3P1N2/1PP1BPPP/RNBQ1RK1 w kq - 4 9,-0.4200
r2qkb1r/1b1p1ppp/p1n1pn2/2p5/Pp2PB2/3P1N2/1PP1BPPP/RN1Q1RK1 b kq - 5 9,-0.2100
r2qkb1r/1b3ppp/p1n1pn2/2pp4/Pp2PB2/3P1N2/1PP1BPPP/RN1Q1RK1 w kq - 0 10,-0.1100
r2qkb1r/1b3ppp/p1n1pn2/2pp4/Pp2PB2/3P1N2/1PP1BPPP/RN1QR1K1 b kq - 1 10,-0.3800
r2qkb1r/1b3ppp/p1n1pn2/2p5/Pp2pB2/3P1N2/1PP1BPPP/RN1QR1K1 w kq - 0 11,-0.2500
r2qkb1r/1b3ppp/p1n1pn2/2p1N3/Pp2pB2/3P4/1PP1BPPP/RN1QR1K1 b kq - 1 11,-1.7200
r3kb1r/1bq2ppp/p1n1pn2/2p1N3/Pp2pB2/3P4/1PP1BPPP/RN1QR1K1 w kq - 2 12,-1.4400
r3kb1r/1bq2ppp/p1n1pnN1/2p5/Pp2pB2/3P4/1PP1BPPP/RN1QR1K1 b kq - 3 12,-1.7900
