fen,eval
r4rk1/nbppn1pp/p2b1p2/4p3/3Pq3/P4NB1/1PP1NPPP/R2QR1K1 w - - 0 16,-2.4800
r4rk1/nbppn1pp/p2b1p2/4p3/2PPq3/P4NB1/1P2NPPP/R2QR1K1 b - - 0 16,-2.3600
r4rk1/nbppn1pp/p1qb1p2/4p3/2PP4/P4NB1/1P2NPPP/R2QR1K1 w - - 1 17,-2.0700
r4rk1/nbppn1pp/p1qb1p2/4p3/2PP4/P1N2NB1/1P3PPP/R2QR1K1 b - - 2 17,-3.4200
r4rk1/nbppn1pp/p1qb1p2/8/2Pp4/P1N2NB1/1P3PPP/R2QR1K1 w - - 0 18,-3.5400
r4rk1/nbppn1pp/p1qb1p2/8/2PQ4/P1N2NB1/1P3PPP/R3R1K1 b - - 0 18,-3.6800
r1n2rk1/1bppn1pp/p1qb1p2/8/2PQ4/P1N2NB1/1P3PPP/R3R1K1 w - - 1 19,-3.2800
r1n2rk1/1bppn1pp/p1qb1p2/8/2PQ4/P1N2NB1/1P3PPP/3RR1K1 b - - 2 19,-3.0300
r1n2rk1/1bppn1pp/2qb1p2/p7/2PQ4/P1N2NB1/1P3PPP/3RR1K1 w - - 0 20,-2.5600
r1n2rk1/1bppn1pp/2qb1p2/pN6/2PQ4/P4NB1/1P3PPP/3RR1K1 b - - 1 20,-3.2700
r1n3k1/1bppnrpp/2qb1p2/pN6/2PQ4/P4NB1/1P3PPP/3RR1K1 w - - 2 21,-2.9400
r1n3k1/1bppnrpp/2qb1p2/pN6/2PQ4/PP3NB1/5PPP/3RR1K1 b - - 0 21,-3.4900
r1n3k1/1bpp1rpp/2qb1p2/pN3n2/2PQ4/PP3NB1/5PPP/3RR1K1 w - - 1 22,-3.2600
r1n3k1/1bpp1rpp/2qb1p2/pN3n2/2P5/PP1Q1NB1/5PPP/3RR1K1 b - - 2 22,-3.3900
r5k1/1bppnrpp/2qb1p2/pN3n2/2P5/PP1Q1NB1/5PPP/3RR1K1 w - - 3 23,-2.7300
r5k1/1bppRrpp/2qb1p2/pN3n2/2P5/PP1Q1NB1/5PPP/3R2K1 b - - 0 23,-2.6600
r5k1/1bppr1pp/2qb1p2/pN3n2/2P5/PP1Q1NB1/5PPP/3R2K1 w - - 0 24,-2.3500
r5k1/1bppr1pp/2qb1p2/pN3Q2/2P5/PP3NB1/5PPP/3R2K1 b - - 0 24,-2.3100
r5k1/1bppr1pp/2q2p2/pN2bQ2/2P5/PP3NB1/5PPP/3R2K1 w - - 1 25,-2.4100
r5k1/1bppr1pp/2q2p2/pN2bQ2/2P2B2/PP3N2/5PPP/3R2K1 b - - 2 25,-3.1100
r5k1/1bp1r1pp/2qp1p2/pN2bQ2/2P2B2/PP3N2/5PPP/3R2K1 w - - 0 26,-3.1400
r5k1/1bp1r1pp/2qp1p2/pN2bQ2/P1P2B2/1P3N2/5PPP/3R2K1 b - - 0 26,-3.5000
r5k1/1bp2rpp/2qp1p2/pN2bQ2/P1P2B2/1P3N2/5PPP/3R2K1 w - - 1 27,-2.8000
r5k1/1bp2rpp/2qp1p2/pN2bQ2/P1P5/1P2BN2/5PPP/3R2K1 b - - 2 27,-2.6400
r3q1k1/1bp2rpp/3p1p2/pN2bQ2/P1P5/1P2BN2/5PPP/3R2K1 w - - 3 28,-2.4100
r3q1k1/1bp2rpp/3p1p2/pN2b3/P1P3Q1/1P2BN2/5PPP/3R2K1 b - - 4 28,-2.5900
r3q1k1/1bp2rpp/3p4/pN2bp2/P1P3Q1/1P2BN2/5PPP/3R2K1 w - - 0 29,-2.5200
r3q1k1/1bp2rpp/3p4/pN2bpQ1/P1P5/1P2BN2/5PPP/3R2K1 b - - 1 29,-3.0900
rnbqkb1r/p1pppppp/1p3n2/8/8/4PN2/PPPPBPPP/RNBQK2R b KQkq - 1 3,0.2600
rnbqkb1r/p1pppp1p/1p3np1/8/8/4PN2/PPPPBPPP/RNBQK2R w KQkq - 0 4,0.3300
rnbqkb1r/p1pppp1p/1p3np1/8/8/4PN2/PPPPBPPP/RNBQ1RK1 b kq - 1 4,0.2800
rnbqk2r/p1ppppbp/1p3np1/8/8/4PN2/PPPPBPPP/RNBQ1RK1 w kq - 2 5,0.3100
rnbqk2r/p1ppppbp/1p3np1/8/3P4/4PN2/PPP1BPPP/RNBQ1RK1 b kq - 0 5,0.3000
rnbq1rk1/p1ppppbp/1p3np1/8/3P4/4PN2/PPP1BPPP/RNBQ1RK1 w - - 1 6,0.2600
rnbq1rk1/p1ppppbp/1p3np1/8/3P4/1P2PN2/P1P1BPPP/RNBQ1RK1 b - - 0 6,0.1900
rnbq1rk1/p1p1ppbp/1p1p1np1/8/3P4/1P2PN2/P1P1BPPP/RNBQ1RK1 w - - 0 7,0.2000
rnbq1rk1/p1p1ppbp/1p1p1np1/8/3P4/1P2PN2/PBP1BPPP/RN1Q1RK1 b - - 1 7,0.1200
rn1q1rk1/pbp1ppbp/1p1p1np1/8/3P4/1P2PN2/PBP1BPPP/RN1Q1RK1 w - - 2 8,0.1800
rn1q1rk1/pbp1ppbp/1p1p1np1/8/2PP4/1P2PN2/PB2BPPP/RN1Q1RK1 b - - 0 8,0.1800
rn1q1rk1/1bp1ppbp/pp1p1np1/8/2PP4/1P2PN2/PB2BPPP/RN1Q1RK1 w - - 0 9,0.3100
rn1q1rk1/1bp1ppbp/pp1p1np1/8/2PP4/1P2PN1P/PB2BPP1/RN1Q1RK1 b - - 0 9,0.2600
rn1q1rk1/1bp1ppbp/pp1p2p1/8/2PPn3/1P2PN1P/PB2BPP1/RN1Q1RK1 w - - 1 10,0.3000
rn1q1rk1/1bp1ppbp/pp1p2p1/8/2PPn3/1P2P2P/PB1NBPP1/RN1Q1RK1 b - - 2 10,0.3200
rn1q1rk1/1bp1ppbp/pp1p2p1/8/2PP4/1P2P2P/PB1nBPP1/RN1Q1RK1 w - - 0 11,0.2900
rn1q1rk1/1bp1ppbp/pp1p2p1/8/2PP4/1P2P2P/PB1NBPP1/R2Q1RK1 b - - 0 11,0.2800
r2q1rk1/1bpnppbp/pp1p2p1/8/2PP4/1P2P2P/PB1NBPP1/R2Q1RK1 w - - 1 12,0.3000
r2q1rk1/1bpnppbp/pp1p2p1/8/2PP4/1P2PB1P/PB1N1PP1/R2Q1RK1 b - - 2 12,0.2800
rnbqkbnr/ppp2ppp/4p3/3p4/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 0 3,-0.3000
rnbqkbnr/ppp2ppp/4p3/8/3pP3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 0 4,-0.0900
rnbqkbnr/ppp2ppp/4p3/8/3pP3/5N2/PPPPNPPP/R1BQKB1R b KQkq - 1 4,-0.0400
rnbqkbnr/pp3ppp/4p3/2p5/3pP3/5N2/PPPPNPPP/R1BQKB1R w KQkq - 0 5,-0.0100
rnbqkbnr/pp3ppp/4p3/2p5/3pP3/5NN1/PPPP1PPP/R1BQKB1R b KQkq - 1 5,-0.5900
rnbqkbnr/1p3ppp/p3p3/2p5/3pP3/5NN1/PPPP1PPP/R1BQKB1R w KQkq - 0 6,-0.5500
rnbqkbnr/1p3ppp/p3p3/2p1P3/3p4/5NN1/PPPP1PPP/R1BQKB1R b KQkq - 0 6,-0.5300
rnb1kbnr/1pq2ppp/p3p3/2p1P3/3p4/5NN1/PPPP1PPP/R1BQKB1R w KQkq - 1 7,-0.5000
rnb1kbnr/1pq2ppp/p3p3/2p1P3/3p4/3B1NN1/PPPP1PPP/R1BQK2R b KQkq - 2 7,-1.0700
r1b1kbnr/1pq2ppp/p1n1p3/2p1P3/3p4/3B1NN1/PPPP1PPP/R1BQK2R w KQkq - 3 8,-1.0100
r1b1kbnr/1pq2ppp/p1n1p3/2p1P3/3p4/3B1NN1/PPPP1PPP/R1BQ1RK1 b kq - 4 8,-0.9000
r1b1kbnr/1pq2ppp/p3p3/2p1n3/3p4/3B1NN1/PPPP1PPP/R1BQ1RK1 w kq - 0 9,-0.8000
r1b1kbnr/1pq2ppp/p3p3/2p1n3/3pB3/5NN1/PPPP1PPP/R1BQ1RK1 b kq - 1 9,-1.5900
r1b1kb1r/1pq2ppp/p3pn2/2p1n3/3pB3/5NN1/PPPP1PPP/R1BQ1RK1 w kq - 2 10,-1.3800
r1b1kb1r/1pq2ppp/p3pn2/2p1n3/3pB3/2P2NN1/PP1P1PPP/R1BQ1RK1 b kq - 0 10,-1.6200
r1b1kb1r/1pq2ppp/p3pnn1/2p5/3pB3/2P2NN1/PP1P1PPP/R1BQ1RK1 w kq - 1 11,-1.1500
r1b1kb1r/1pq2ppp/p3pnn1/2p5/3PB3/5NN1/PP1P1PPP/R1BQ1RK1 b kq - 0 11,-1.1600
r1b1kb1r/1pq2ppp/p3pnn1/8/3pB3/5NN1/PP1P1PPP/R1BQ1RK1 w kq - 0 12,-1.0700
r1b1kb1r/1pq2ppp/p3pnn1/8/Q2pB3/5NN1/PP1P1PPP/R1B2RK1 b kq - 1 12,-1.3700
r1b1kb1r/1p1q1ppp/p3pnn1/8/Q2pB3/5NN1/PP1P1PPP/R1B2RK1 w kq - 2 13,-1.0500
r1b1kb1r/1p1Q1ppp/p3pnn1/8/3pB3/5NN1/PP1P1PPP/R1B2RK1 b kq - 0 13,-1.3000
r3kb1r/1p1b1ppp/p3pnn1/8/3pB3/5NN1/PP1P1PPP/R1B2RK1 w kq - 0 14,-1.2500
r3kb1r/1p1b1ppp/p3pnB1/8/3p4/5NN1/PP1P1PPP/R1B2RK1 b kq - 0 14,-1.5200
r3kb1r/1p3ppp/p3pnB1/1b6/3p4/5NN1/PP1P1PPP/R1B2RK1 w kq - 1 15,2.1600
r3kb1r/1p3ppp/p3pn2/1b6/3p4/5NN1/PPBP1PPP/R1B2RK1 b kq - 2 15,2.2600
r3kb1r/1p3ppp/p3pn2/8/3p4/5NN1/PPBP1PPP/R1B2bK1 w kq - 0 16,2.2300
r3kb1r/1p3ppp/p3pn2/8/3p4/5NN1/PPBP1PPP/R1B2K2 b kq - 0 16,2.2600
2kr1b1r/1p3ppp/p3pn2/8/3p4/5NN1/PPBP1PPP/R1B2K2 w - - 1 17,3.1300
2kr1b1r/1p3ppp/p3pn2/8/3p4/1P3NN1/P1BP1PPP/R1B2K2 b - - 0 17,1.9500
2kr1b1r/1p3pp1/p3pn2/7p/3p4/1P3NN1/P1BP1PPP/R1B2K2 w - - 0 18,2.3300
2kr1b1r/1p3pp1/p3pn2/7p/3p4/1P1B1NN1/P2P1PPP/R1B2K2 b - - 1 18,2.4600
2kr3r/1p2bpp1/p3pn2/7p/3p4/1P1B1NN1/P2P1PPP/R1B2K2 w - - 2 19,2.8600
2kr3r/1p2bpp1/p3pn2/7p/3p3P/1P1B1NN1/P2P1PP1/R1B2K2 b - - 0 19,2.4000
1k1r3r/1p2bpp1/p3pn2/7p/3p3P/1P1B1NN1/P2P1PP1/R1B2K2 w - - 1 20,2.7900
1k1r3r/1p2bpp1/p3pn2/7p/3p3P/1P1B1NN1/P2P1PP1/1RB2K2 b - - 2 20,2.2400
1k5r/1p1rbpp1/p3pn2/7p/3p3P/1P1B1NN1/P2P1PP1/1RB2K2 w - - 3 21,2.5700
1k5r/1p1rbpp1/p3pn2/7p/3p3P/1P1B1N2/P2PNPP1/1RB2K2 b - - 4 21,1.9900
1k5r/1p1rbpp1/p3p3/7p/3p2nP/1P1B1N2/P2PNPP1/1RB2K2 w - - 5 22,2.0700
1k5r/1p1rbpp1/p3p3/7p/1P1p2nP/3B1N2/P2PNPP1/1RB2K2 b - - 0 22,1.6600
1kr5/1p1rbpp1/p3p3/7p/1P1p2nP/3B1N2/P2PNPP1/1RB2K2 w - - 1 23,1.9900
1kr5/1p1rbpp1/p3p3/7p/1P1p2nP/1R1B1N2/P2PNPP1/2B2K2 b - - 2 23,1.3000
1kr5/1p2bpp1/p3p3/3r3p/1P1p2nP/1R1B1N2/P2PNPP1/2B2K2 w - - 3 24,1.7800
1kr5/1p2bpp1/p3p3/3r3p/1P1p2nP/1R1B1NP1/P2PNP2/2B2K2 b - - 0 24,1.3400
1k6/1pr1bpp1/p3p3/3r3p/1P1p2nP/1R1B1NP1/P2PNP2/2B2K2 w - - 1 25,2.1900
1k6/1pr1bpp1/p3p3/3r3p/1P1p2nP/1R1B1NP1/PB1PNP2/5K2 b - - 2 25,2.2900
1k6/1pr2pp1/p3pb2/3r3p/1P1p2nP/1R1B1NP1/PB1PNP2/5K2 w - - 3 26,3.0900
1k6/1pr2pp1/p3pb2/3r3p/1P1p2nP/1R1B1NP1/PB1P1P2/5KN1 b - - 4 26,2.2600
1k1r4/1pr2pp1/p3pb2/7p/1P1p2nP/1R1B1NP1/PB1P1P2/5KN1 w - - 5 27,2.7100
1k1r4/1pr2pp1/p3pb2/1P5p/3p2nP/1R1B1NP1/PB1P1P2/5KN1 b - - 0 27,2.4500
1k1r4/1pr2pp1/4pb2/1p5p/3p2nP/1R1B1NP1/PB1P1P2/5KN1 w - - 0 28,2.8400
1k1r4/1pr2pp1/4pb2/1p4Np/3p2nP/1R1B2P1/PB1P1P2/5KN1 b - - 1 28,2.0400
1k1r4/1pr2pp1/4pb2/1p2n1Np/3p3P/1R1B2P1/PB1P1P2/5KN1 w - - 2 29,1.9700
1k1r4/1pr2pp1/4pb2/1p2n1Np/3p3P/1R4P1/PB1PBP2/5KN1 b - - 3 29,0.1000
r1bqkbnr/pp1ppppp/2n5/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,0.4800
r1bqkbnr/pp1ppppp/8/1Bp5/3nP3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,0.6600
r1bqkbnr/pp1ppppp/8/1Bp5/P2nP3/5N2/1PPP1PPP/RNBQK2R b KQkq - 0 4,0.1800
r1bqkb1r/pp1ppppp/5n2/1Bp5/P2nP3/5N2/1PPP1PPP/RNBQK2R w KQkq - 1 5,0.5100
r1bqkb1r/pp1ppppp/5n2/1Bp1P3/P2n4/5N2/1PPP1PPP/RNBQK2R b KQkq - 0 5,0.4400
r1bqkbnr/pp1ppppp/8/1Bp1P3/P2n4/5N2/1PPP1PPP/RNBQK2R w KQkq - 1 6,0.8900
r1bqkbnr/pp1ppppp/8/1Bp1P3/P2n4/2P2N2/1P1P1PPP/RNBQK2R b KQkq - 0 6,0.7400
r1bqkbnr/pp1ppppp/2n5/1Bp1P3/P7/2P2N2/1P1P1PPP/RNBQK2R w KQkq - 1 7,1.2700
r1bqkbnr/pp1ppppp/2n5/PBp1P3/8/2P2N2/1P1P1PPP/RNBQK2R b KQkq - 0 7,0.8600
r1bqkbnr/pp1p1ppp/2n1p3/PBp1P3/8/2P2N2/1P1P1PPP/RNBQK2R w KQkq - 0 8,1.0700
r1bqkbnr/pp1p1ppp/2n1p3/PBp1P3/8/2P2N2/1P1P1PPP/RNBQ1RK1 b kq - 1 8,1.0900
r1bqkbnr/pp1p1ppp/4p3/nBp1P3/8/2P2N2/1P1P1PPP/RNBQ1RK1 w kq - 0 9,1.0800
r1bqkbnr/pp1p1ppp/4p3/nBp1P3/3P4/2P2N2/1P3PPP/RNBQ1RK1 b kq - 0 9,0.8400
r1bqkbnr/1p1p1ppp/p3p3/nBp1P3/3P4/2P2N2/1P3PPP/RNBQ1RK1 w kq - 0 10,1.0900
r1bqkbnr/1p1p1ppp/p3p3/n1p1P3/3P4/2PB1N2/1P3PPP/RNBQ1RK1 b kq - 1 10,0.9800
rnbqkbnr/pp1ppp1p/6p1/2pP4/4P3/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,0.6000
rnbqk1nr/pp1pppbp/6p1/2pP4/4P3/8/PPP2PPP/RNBQKBNR w KQkq - 1 4,0.8400
rnbqk1nr/pp1pppbp/6p1/2pP4/4P3/2N5/PPP2PPP/R1BQKBNR b KQkq - 2 4,0.6700
rnbqk1nr/pp2ppbp/3p2p1/2pP4/4P3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 5,0.6400
rnbqk1nr/pp2ppbp/3p2p1/2pP4/P3P3/2N5/1PP2PPP/R1BQKBNR b KQkq - 0 5,0.6100
rnbqk2r/pp2ppbp/3p1np1/2pP4/P3P3/2N5/1PP2PPP/R1BQKBNR w KQkq - 1 6,0.6600
rnbqk2r/pp2ppbp/3p1np1/2pP4/P3P3/2N2N2/1PP2PPP/R1BQKB1R b KQkq - 2 6,0.6200
rnbq1rk1/pp2ppbp/3p1np1/2pP4/P3P3/2N2N2/1PP2PPP/R1BQKB1R w KQ - 3 7,0.6800
rnbq1rk1/pp2ppbp/3p1np1/2pP4/P3P3/2N2N2/1PP1BPPP/R1BQK2R b KQ - 4 7,0.1800
rn1q1rk1/pp2ppbp/3p1np1/2pP4/P3P1b1/2N2N2/1PP1BPPP/R1BQK2R w KQ - 5 8,0.8900
rn1q1rk1/pp2ppbp/3p1np1/2pP4/P3P1b1/2N5/1PPNBPPP/R1BQK2R b KQ - 6 8,0.1800
rn1q1rk1/pp1bppbp/3p1np1/2pP4/P3P3/2N5/1PPNBPPP/R1BQK2R w KQ - 7 9,0.9900
rn1q1rk1/pp1bppbp/3p1np1/2pP4/P3P3/2N5/1PPNBPPP/R1BQ1RK1 b - - 8 9,0.9900
r2q1rk1/pp1bppbp/n2p1np1/2pP4/P3P3/2N5/1PPNBPPP/R1BQ1RK1 w - - 9 10,1.0800
r2q1rk1/pp1bppbp/B2p1np1/2pP4/P3P3/2N5/1PPN1PPP/R1BQ1RK1 b - - 0 10,0.9100
r2q1rk1/p2bppbp/p2p1np1/2pP4/P3P3/2N5/1PPN1PPP/R1BQ1RK1 w - - 0 11,0.9500
r2q1rk1/p2bppbp/p2p1np1/2pP4/P1N1P3/2N5/1PP2PPP/R1BQ1RK1 b - - 1 11,0.9100
r4rk1/p1qbppbp/p2p1np1/2pP4/P1N1P3/2N5/1PP2PPP/R1BQ1RK1 w - - 2 12,1.1500
r4rk1/p1qbppbp/p2p1np1/2pP2B1/P1N1P3/2N5/1PP2PPP/R2Q1RK1 b - - 3 12,1.0400
r3r1k1/p1qbppbp/p2p1np1/2pP2B1/P1N1P3/2N5/1PP2PPP/R2Q1RK1 w - - 4 13,1.4400
r3r1k1/p1qbppbp/p2p1np1/2pP2B1/P1N1P3/2NQ4/1PP2PPP/R4RK1 b - - 5 13,1.4200
r1b1r1k1/p1q1ppbp/p2p1np1/2pP2B1/P1N1P3/2NQ4/1PP2PPP/R4RK1 w - - 6 14,1.4200
r1b1r1k1/p1q1ppbp/p2p1np1/2pP2B1/P1N1P3/2NQ4/1PP2PPP/R4R1K b - - 7 14,1.1000
r1b1r1k1/p1qnppbp/p2p2p1/2pP2B1/P1N1P3/2NQ4/1PP2PPP/R4R1K w - - 8 15,1.1200
r1b1r1k1/p1qnppbp/p2p2p1/2pP2B1/P1N1P3/2NQ3P/1PP2PP1/R4R1K b - - 0 15,0.9200
1rb1r1k1/p1qnppbp/p2p2p1/2pP2B1/P1N1P3/2NQ3P/1PP2PP1/R4R1K w - - 1 16,0.9100
1rb1r1k1/p1qnppbp/p2p2p1/2pP2B1/P1N1P3/2NQ3P/1PP2PP1/4RR1K b - - 2 16,0.9200
1rb1r1k1/pq1nppbp/p2p2p1/2pP2B1/P1N1P3/2NQ3P/1PP2PP1/4RR1K w - - 3 17,2.0600
1rb1r1k1/pq1nppbp/p2p2p1/2pP4/P1N1PB2/2NQ3P/1PP2PP1/4RR1K b - - 4 17,1.5000
1rb1r1k1/p1qnppbp/p2p2p1/2pP4/P1N1PB2/2NQ3P/1PP2PP1/4RR1K w - - 5 18,1.4200
1rb1r1k1/p1qnppbp/p2p2p1/P1pP4/2N1PB2/2NQ3P/1PP2PP1/4RR1K b - - 0 18,1.2400
1rb1r1k1/p1qnpp1p/p2p2p1/P1pPb3/2N1PB2/2NQ3P/1PP2PP1/4RR1K w - - 1 19,2.1800
1rb1r1k1/p1qnpp1p/p2p2p1/P1pPb3/2N1P3/2NQ2BP/1PP2PP1/4RR1K b - - 2 19,1.3300
1rb1r1kb/p1qnpp1p/p2p2p1/P1pP4/2N1P3/2NQ2BP/1PP2PP1/4RR1K w - - 3 20,2.4300
1rb1r1kb/p1qnpp1p/p2p2p1/P1pP4/2N1P3/1PNQ2BP/2P2PP1/4RR1K b - - 0 20,1.7200
1rb1r1kb/p1qnp2p/p2p1pp1/P1pP4/2N1P3/1PNQ2BP/2P2PP1/4RR1K w - - 0 21,2.1700
1rb1r1kb/p1qnp2p/p2p1pp1/P1pP4/2N1PB2/1PNQ3P/2P2PP1/4RR1K b - - 1 21,1.3400
1rb1r1kb/p1q1p2p/p2p1pp1/P1pPn3/2N1PB2/1PNQ3P/2P2PP1/4RR1K w - - 2 22,1.4200
1rb1r1kb/p1q1p2p/p2p1pp1/P1pPB3/2N1P3/1PNQ3P/2P2PP1/4RR1K b - - 0 22,1.3200
1r2r1kb/p1qbp2p/p2p1pp1/P1pPB3/2N1P3/1PNQ3P/2P2PP1/4RR1K w - - 1 23,5.9200
1r2r1kb/p1qbp2p/p2p1pp1/P1pP4/2N1PB2/1PNQ3P/2P2PP1/4RR1K b - - 2 23,5.4900
1r2r1k1/p1qbp1bp/p2p1pp1/P1pP4/2N1PB2/1PNQ3P/2P2PP1/4RR1K w - - 3 24,5.7300
1r2r1k1/p1qbp1bp/p2p1pp1/P1pP4/2N1P3/1PNQ3P/2PB1PP1/4RR1K b - - 4 24,5.4300
1r2r1k1/p1q1p1bp/p2p1pp1/P1pP4/2N1P3/1PNQ3b/2PB1PP1/4RR1K w - - 0 25,6.6700
1r2r1k1/p1q1p1bp/p2p1pp1/P1pP4/2N1P3/1PN4Q/2PB1PP1/4RR1K b - - 0 25,5.6800
4r1k1/prq1p1bp/p2p1pp1/P1pP4/2N1P3/1PN4Q/2PB1PP1/4RR1K w - - 1 26,6.1700
4r1k1/prq1p1bp/p2pQpp1/P1pP4/2N1P3/1PN5/2PB1PP1/4RR1K b - - 2 26,6.0700
4rk2/prq1p1bp/p2pQpp1/P1pP4/2N1P3/1PN5/2PB1PP1/4RR1K w - - 3 27,6.1700
4rk2/prq1p1bp/p2pQpp1/P1pPP3/2N5/1PN5/2PB1PP1/4RR1K b - - 0 27,5.9500
4rk2/prq1p1bp/p3Qpp1/P1pPp3/2N5/1PN5/2PB1PP1/4RR1K w - - 0 28,6.1900
4rk2/prq1p1bp/p4pp1/P1pPp3/2N5/1PN4Q/2PB1PP1/4RR1K b - - 1 28,6.3300
1q2rk2/pr2p1bp/p4pp1/P1pPp3/2N5/1PN4Q/2PB1PP1/4RR1K w - - 2 29,6.2300
1q2rk2/pr2p1bp/p4pp1/P1pPp3/2N5/1PN4Q/2PB1PP1/4RRK1 b - - 3 29,6.0600
1q2rk2/pr2p1b1/p4pp1/P1pPp2p/2N5/1PN4Q/2PB1PP1/4RRK1 w - - 0 30,6.9000
1q2rk2/pr2p1b1/p4pp1/P1pPp2p/2N2P2/1PN4Q/2PB2P1/4RRK1 b - - 0 30,6.4000
1q2rk2/pr2p3/p4ppb/P1pPp2p/2N2P2/1PN4Q/2PB2P1/4RRK1 w - - 1 31,6.9000
1q2rk2/pr2p3/p2P1ppb/P1p1p2p/2N2P2/1PN4Q/2PB2P1/4RRK1 b - - 0 31,6.3600
1q2r1k1/pr2p3/p2P1ppb/P1p1p2p/2N2P2/1PN4Q/2PB2P1/4RRK1 w - - 1 32,6.7600
1q2r1k1/pr2p3/p2P1ppb/P1p1p2p/2N1NP2/1P5Q/2PB2P1/4RRK1 b - - 2 32,6.4600
3qr1k1/pr2p3/p2P1ppb/P1p1p2p/2N1NP2/1P5Q/2PB2P1/4RRK1 w - - 3 33,6.6700
3qr1k1/pr2P3/p4ppb/P1p1p2p/2N1NP2/1P5Q/2PB2P1/4RRK1 b - - 0 33,6.4500
3q2k1/pr2r3/p4ppb/P1p1p2p/2N1NP2/1P5Q/2PB2P1/4RRK1 w - - 0 34,6.4700
3q2k1/pr2r3/p4Npb/P1p1p2p/2N2P2/1P5Q/2PB2P1/4RRK1 b - - 0 34,6.6900
3q4/pr2r1k1/p4Npb/P1p1p2p/2N2P2/1P5Q/2PB2P1/4RRK1 w - - 1 35,6.4000
rnbqkbnr/1p1ppppp/p7/2p5/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 1 3,0.4400
rnbqkbnr/1p1p1ppp/p3p3/2p5/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 0 4,0.4500
rnbqkbnr/1p1p1ppp/p3p3/2p5/4P3/2N2NP1/PPPP1P1P/R1BQKB1R b KQkq - 0 4,0.4400
r1bqkbnr/1p1p1ppp/p1n1p3/2p5/4P3/2N2NP1/PPPP1P1P/R1BQKB1R w KQkq - 1 5,0.6500
r1bqkbnr/1p1p1ppp/p1n1p3/2p5/4P3/2N2NPP/PPPP1P2/R1BQKB1R b KQkq - 0 5,0.2600
rnbqkb1r/pppp1ppp/4pn2/8/8/4PN2/PPPPBPPP/RNBQK2R b KQkq - 2 3,0.0700
rnbqkb1r/pppp1p1p/4pnp1/8/8/4PN2/PPPPBPPP/RNBQK2R w KQkq - 0 4,0.3100
rnbqkb1r/pppp1p1p/4pnp1/8/3P4/4PN2/PPP1BPPP/RNBQK2R b KQkq - 0 4,0.2900
rnbqkb1r/p1pp1p1p/1p2pnp1/8/3P4/4PN2/PPP1BPPP/RNBQK2R w KQkq - 0 5,0.3000
rnbqkb1r/p1pp1p1p/1p2pnp1/8/3P4/4PN2/PPP1BPPP/RNBQ1RK1 b kq - 1 5,0.3000
rnbqk2r/p1pp1pbp/1p2pnp1/8/3P4/4PN2/PPP1BPPP/RNBQ1RK1 w kq - 2 6,0.2900
rnbqk2r/p1pp1pbp/1p2pnp1/8/1P1P4/4PN2/P1P1BPPP/RNBQ1RK1 b kq - 0 6,0.3800
rn1qk2r/pbpp1pbp/1p2pnp1/8/1P1P4/4PN2/P1P1BPPP/RNBQ1RK1 w kq - 1 7,0.4000
rn1qk2r/pbpp1pbp/1p2pnp1/8/1P1P4/4PN2/PBP1BPPP/RN1Q1RK1 b kq - 2 7,0.4000
rn2k2r/pbppqpbp/1p2pnp1/8/1P1P4/4PN2/PBP1BPPP/RN1Q1RK1 w kq - 3 8,0.4000
rn2k2r/pbppqpbp/1p2pnp1/8/PP1P4/4PN2/1BP1BPPP/RN1Q1RK1 b kq - 0 8,0.3400
rn3rk1/pbppqpbp/1p2pnp1/8/PP1P4/4PN2/1BP1BPPP/RN1Q1RK1 w - - 1 9,0.3700
rn3rk1/pbppqpbp/1p2pnp1/8/PP1P4/4PN1P/1BP1BPP1/RN1Q1RK1 b - - 0 9,-0.7100
rnr3k1/pbppqpbp/1p2pnp1/8/PP1P4/4PN1P/1BP1BPP1/RN1Q1RK1 w - - 1 10,0.3200
rnr3k1/pbppqpbp/1p2pnp1/8/PP1P4/2P1PN1P/1B2BPP1/RN1Q1RK1 b - - 0 10,0.2900
rnr3k1/1bppqpbp/1p2pnp1/p7/PP1P4/2P1PN1P/1B2BPP1/RN1Q1RK1 w - - 0 11,0.4200
rnr3k1/1bppqpbp/1p2pnp1/pP6/P2P4/2P1PN1P/1B2BPP1/RN1Q1RK1 b - - 0 11,0.3900
rnr3k1/1bp1qpbp/1p1ppnp1/pP6/P2P4/2P1PN1P/1B2BPP1/RN1Q1RK1 w - - 0 12,0.3500
rnr3k1/1bp1qpbp/1p1ppnp1/pP6/P2P4/R1P1PN1P/1B2BPP1/1N1Q1RK1 b - - 1 12,0.2600
rnr3k1/1bp1qpbp/1p2pnp1/pP1p4/P2P4/R1P1PN1P/1B2BPP1/1N1Q1RK1 w - - 0 13,0.3000
rnr3k1/1bp1qpbp/1p2pnp1/pP1p4/P2P4/R1P1PN1P/1B1NBPP1/3Q1RK1 b - - 1 13,0.3100
